city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,pollution
Ahmedabad,01-12-2021,5,500.68,0,10.97,83.68,12.87,77.81,86.87,8.11,780.99
Ahmedabad,02-12-2021,5,640.87,0,9.17,77.25,10.01,109.07,110.85,2.66,959.88
Ahmedabad,03-12-2021,5,514.03,0,12.85,67.95,13.11,58.47,64.22,7.92,738.55
Ahmedabad,04-12-2021,5,567.44,0,10.97,72.96,11.56,90.78,97.24,8.36,859.31
Ahmedabad,05-12-2021,5,1068.12,0.1,27.08,18.24,11.21,170.19,190.98,7.79,1493.71
Ahmedabad,06-12-2021,5,1081.47,0.41,34.96,10.91,12.64,136.58,154.15,9.12,1440.24
Ahmedabad,07-12-2021,5,1108.17,0.91,30.85,17.88,12.52,150.84,172.99,13.05,1507.21
Ahmedabad,08-12-2021,5,741,0,15.25,65.09,13.11,73.9,84.08,11.78,1004.21
Ahmedabad,09-12-2021,5,841.14,0.01,23.99,31.47,13.59,75.99,92.8,16.47,1095.46
Ahmedabad,10-12-2021,5,867.84,0.01,25.36,34.69,13.59,83.13,100.91,17.23,1142.76
Ahmedabad,11-12-2021,5,934.6,0.11,30.5,18.78,13.47,86.95,108.24,18.49,1211.14
Ahmedabad,12-12-2021,5,700.95,0,16.62,48.64,10.25,75.12,87.3,14.19,953.07
Ahmedabad,13-12-2021,5,707.63,0,18.68,55.07,11.56,79.25,92.89,13.93,979.01
Ahmedabad,14-12-2021,5,741,0,26.39,61.51,17.17,55.39,63.75,13.55,978.76
Ahmedabad,15-12-2021,5,854.49,0,30.16,45.78,16.45,78.14,90.96,16.09,1132.07
Ahmedabad,16-12-2021,5,754.36,0,25.7,65.09,15.97,86.03,95.15,13.55,1055.85
Ahmedabad,17-12-2021,5,741,0,22.28,78.68,19.07,93.19,102.78,12.41,1069.41
Ahmedabad,18-12-2021,5,654.22,0,9.08,114.44,13.59,105.51,111.93,8.61,1017.38
Ahmedabad,19-12-2021,4,500.68,0,8.05,110.15,13.83,49.99,54.54,8.74,745.98
Ahmedabad,20-12-2021,4,480.65,0,11.82,68.66,11.09,28.96,35.52,11.91,648.61
Ahmedabad,21-12-2021,5,934.6,0.02,27.76,34.33,17.64,75.84,94.29,18.49,1202.97
Ahmedabad,22-12-2021,5,1895.9,13.19,56.21,0.35,19.07,146.89,176.52,24.57,2332.7
Ahmedabad,23-12-2021,5,3124.24,39.79,84.31,0,23.13,208.95,242.71,29.39,3752.52
Ahmedabad,24-12-2021,5,1789.09,7.04,65.8,0.98,18.6,128.55,159.5,11.91,2181.47
Ahmedabad,25-12-2021,5,1441.96,11.51,55.52,0.47,15.26,100.48,134.15,6.52,1765.87
Ahmedabad,26-12-2021,5,2109.53,16.54,59.63,0.12,16.93,186.58,238.32,15.2,2642.85
Ahmedabad,27-12-2021,5,1602.17,2.18,52.78,5.14,17.4,172.19,210.87,19,2081.73
Ahmedabad,28-12-2021,5,1321.79,0.04,37.7,25.39,18.12,164.7,196.92,17.73,1782.39
Ahmedabad,29-12-2021,5,807.76,0.01,22.28,35.76,12.52,52.26,63.73,6.33,1000.65
Ahmedabad,30-12-2021,4,614.17,0,11.82,80.11,10.73,41.54,47.82,10.13,816.32
Ahmedabad,31-12-2021,4,453.95,0,9.25,80.11,10.85,45.7,50.55,8.04,658.45
Ahmedabad,01-01-2022,4,520.71,0,10.45,68.66,10.61,42.05,48.01,9.12,709.61
